service_id,date,exception_type
1,20200619,1
1,20200620,1
1,20200621,1
1,20200627,1
1,20200628,1
1,20200704,1
1,20200705,1
1,20200711,1
1,20200712,1
1,20200718,1
1,20200719,1
1,20200725,1
1,20200726,1
1,20200801,1
1,20200802,1
1,20200808,1
1,20200809,1
1,20200815,1
1,20200816,1
2,20200622,1
2,20200623,1
2,20200624,1
2,20200625,1
2,20200626,1
2,20200629,1
2,20200630,1
2,20200701,1
2,20200702,1
2,20200703,1
2,20200706,1
2,20200707,1
2,20200708,1
2,20200709,1
2,20200710,1
2,20200713,1
2,20200714,1
2,20200715,1
2,20200716,1
2,20200717,1
2,20200720,1
2,20200721,1
2,20200722,1
2,20200723,1
2,20200724,1
2,20200727,1
2,20200728,1
2,20200729,1
2,20200730,1
2,20200731,1
2,20200803,1
2,20200804,1
2,20200805,1
2,20200806,1
2,20200807,1
2,20200810,1
2,20200811,1
2,20200812,1
2,20200813,1
2,20200814,1
3,20200619,1
3,20200620,1
3,20200626,1
3,20200627,1
3,20200703,1
3,20200704,1
3,20200710,1
3,20200711,1
3,20200717,1
3,20200718,1
3,20200724,1
3,20200725,1
3,20200731,1
3,20200801,1
3,20200807,1
3,20200808,1
3,20200814,1
3,20200815,1
4,20200618,1
4,20200621,1
4,20200622,1
4,20200623,1
4,20200624,1
4,20200625,1
4,20200628,1
4,20200629,1
4,20200630,1
4,20200701,1
4,20200702,1
4,20200705,1
4,20200706,1
4,20200707,1
4,20200708,1
4,20200709,1
4,20200712,1
4,20200713,1
4,20200714,1
4,20200715,1
4,20200716,1
4,20200719,1
4,20200720,1
4,20200721,1
4,20200722,1
4,20200723,1
4,20200726,1
4,20200727,1
4,20200728,1
4,20200729,1
4,20200730,1
4,20200802,1
4,20200803,1
4,20200804,1
4,20200805,1
4,20200806,1
4,20200809,1
4,20200810,1
4,20200811,1
4,20200812,1
4,20200813,1
4,20200816,1
5,20200618,1
5,20200619,1
5,20200620,1
5,20200621,1
5,20200622,1
5,20200623,1
5,20200624,1
5,20200625,1
5,20200626,1
5,20200627,1
5,20200628,1
5,20200629,1
5,20200630,1
5,20200701,1
5,20200702,1
