from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
9022003780722002,9022003780722002,1,,33010000137616869,33010000137567346
9022003780722002,9022003780722002,1,,33010000137617109,33010000137567288
9022003780722002,9022003780722002,1,,33010000137617670,33010000137567058
9022003780722002,9022003780722002,1,,33010000137617772,33010000134881096
9022003780722002,9022003780722002,1,,33010000137618078,33010000137566885
9022003780722002,9022003780722002,1,,33010000137617466,33010000137567231
9022003780722002,9022003780722002,1,,33010000137618435,33010000137567174
9022003780722002,9022003780722002,1,,33010000137618681,33010000137566942
9022003780722002,9022003780722002,1,,33010000137617568,33010000134881039
9022003780722002,9022003780722002,1,,33010000137617976,33010000137567117
9022003780722002,9022003780722002,1,,33010000137618129,33010000137566999
9022003780722002,9022003780722002,1,,33010000137618282,33010000137566828
9022003780233002,9022003780233001,1,,33010000138181822,33010000131445884
9022003780050001,9022003780050001,1,,33010000138181822,33010000131484827
9022003780050001,9022003780050002,1,,33010000138181822,33010000131489561
9022003780050001,9022003780050001,1,,33010000138181864,33010000131484941
9022003780233002,9022003780233001,1,,33010000138181864,33010000137595900
9022003780050001,9022003780050002,1,,33010000138181864,33010000137607527
9022003780233002,9022003780233001,1,,33010000138181906,33010000131446467
9022003780050001,9022003780050001,1,,33010000138181906,33010000131485893
9022003780050001,9022003780050002,1,,33010000138181906,33010000131490677
9022003780233002,9022003780233001,1,,33010000138182200,33010000131445772
9022003780050001,9022003780050001,1,,33010000138182200,33010000131485511
9022003780050001,9022003780050002,1,,33010000138182200,33010000131489933
9022003780050001,9022003780050001,1,,33010000138182284,33010000131485682
9022003780050001,9022003780050001,1,,33010000138182284,33010000131487320
9022003780050001,9022003780050002,1,,33010000138182284,33010000131490181
9022003780233002,9022003780233001,1,,33010000138182284,33010000137595842
9022003780050001,9022003780050001,1,,33010000138182494,33010000131486921
9022003780050001,9022003780050001,1,,33010000138181948,33010000131485796
9022003780050001,9022003780050002,1,,33010000138181948,33010000131490429
9022003780233002,9022003780233001,1,,33010000138181948,33010000137595720
9022003780233002,9022003780233001,1,,33010000138182032,33010000131446691
9022003780050001,9022003780050001,1,,33010000138182032,33010000131486121
9022003780050001,9022003780050002,1,,33010000138182032,33010000131490553
9022003780233002,9022003780233001,1,,33010000138182116,33010000131446579
9022003780050001,9022003780050001,1,,33010000138182116,33010000131485283
9022003780050001,9022003780050002,1,,33010000138182116,33010000131489685
9022003780233002,9022003780233001,1,,33010000138182158,33010000131446635
9022003780050001,9022003780050001,1,,33010000138182158,33010000131485397
9022003780050001,9022003780050001,1,,33010000138182158,33010000131487149
9022003780050001,9022003780050002,1,,33010000138182158,33010000131489809
9022003780233002,9022003780233001,1,,33010000138182326,33010000131446222
9022003780050001,9022003780050001,1,,33010000138182326,33010000131486178
9022003780050001,9022003780050002,1,,33010000138182326,33010000137607653
9022003780233002,9022003780233001,1,,33010000138182452,33010000131446164
9022003780050001,9022003780050001,1,,33010000138182452,33010000131486748
9022003780050001,9022003780050001,1,,33010000138181990,33010000131485055
9022003780233002,9022003780233001,1,,33010000138181990,33010000137595776
9022003780050001,9022003780050002,1,,33010000138181990,33010000137607401
9022003780233002,9022003780233001,1,,33010000138182074,33010000131446523
9022003780050001,9022003780050001,1,,33010000138182074,33010000131485169
9022003780050001,9022003780050001,1,,33010000138182074,33010000131487035
9022003780050001,9022003780050002,1,,33010000138182074,33010000131490801
9022003780233002,9022003780233001,1,,33010000138182242,33010000131445828
9022003780050001,9022003780050001,1,,33010000138182242,33010000131485625
9022003780050001,9022003780050001,1,,33010000138182242,33010000131487263
9022003780050001,9022003780050002,1,,33010000138182242,33010000131490057
9022003780233002,9022003780233001,1,,33010000138182368,33010000131445940
9022003780050001,9022003780050001,1,,33010000138182368,33010000131486292
9022003780050001,9022003780050002,1,,33010000138182368,33010000131487837
9022003780233002,9022003780233001,1,,33010000138182410,33010000131446052
9022003780050001,9022003780050001,1,,33010000138182410,33010000131486520
9022003780050001,9022003780050002,1,,33010000138182410,33010000131488085
9022003780050001,9022003780050001,1,,33010000138182544,33010000131487434
9022003780233002,9022003780233001,1,,33010000138182544,33010000137595900
9022003730000003,9022003730000002,1,,33010000131485568,33010000134949589
9022003730000003,9022003730000002,1,,33010000131485950,33010000134949127
9022003780050001,9022003780050001,1,,33010000131486748,33010000131501157
9022003730000003,9022003730000002,1,,33010000131484770,33010000134949853
9022003780050001,9022003780050001,1,,33010000131485055,33010000131499778
9022003780050001,9022003780050001,1,,33010000131485397,33010000131499997
9022003780050001,9022003780050001,1,,33010000131485625,33010000131500143
9022003730000003,9022003730000002,1,,33010000131485625,33010000134949655
9022003730000003,9022003730000002,1,,33010000131485893,33010000134949061
9022003780050001,9022003780050001,1,,33010000131487263,33010000131500143
9022003780050001,9022003780050001,1,,33010000131487320,33010000137608647
9022003780050001,9022003780050001,1,,33010000131485283,33010000131499924
9022003780050001,9022003780050001,1,,33010000131485796,33010000131500453
9022003730000003,9022003730000002,1,,33010000131485796,33010000134949193
9022003780050001,9022003780050001,1,,33010000131486178,33010000131500792
9022003780050001,9022003780050001,1,,33010000131486520,33010000131501011
9022003780050001,9022003780050001,1,,33010000131486520,33010000137608866
9022003780050001,9022003780050001,1,,33010000131486921,33010000131501305
9022003780050001,9022003780050001,1,,33010000131484827,33010000131499632
9022003780050001,9022003780050001,1,,33010000131484941,33010000131499705
9022003780050001,9022003780050001,1,,33010000131485169,33010000131499851
9022003780050001,9022003780050001,1,,33010000131485511,33010000131500070
9022003780050001,9022003780050001,1,,33010000131485682,33010000131499559
9022003730000003,9022003730000002,1,,33010000131485682,33010000134949787
9022003780050001,9022003780050001,1,,33010000131486292,33010000131500865
9022003780050001,9022003780050001,1,,33010000131486292,33010000137608793
9022003780050001,9022003780050001,1,,33010000131487035,33010000131499851
9022003780050001,9022003780050001,1,,33010000131487149,33010000131499997
9022003780050001,9022003780050001,1,,33010000131487434,33010000137608720
9022003730000003,9022003730000002,1,,33010000137607209,33010000134949721
9022003780050002,9022003780050001,1,,33010000131489685,33010000131499924
9022003780050002,9022003780050001,1,,33010000131489933,33010000131500070
9022003780050002,9022003780050001,1,,33010000131490429,33010000131500453
9022003780050002,9022003780050001,1,,33010000131487837,33010000131500865
9022003780050002,9022003780050001,1,,33010000131490057,33010000131500143
9022003780050002,9022003780050001,1,,33010000131490181,33010000131499559
9022003780050002,9022003780050001,1,,33010000131490801,33010000131499851
9022003780050002,9022003780050001,1,,33010000131488085,33010000131501011
9022003780050002,9022003780050001,1,,33010000131489561,33010000131499632
9022003780050002,9022003780050001,1,,33010000131489809,33010000131499997
9022003780050002,9022003780050001,1,,33010000137607653,33010000131500792
9022003780050002,9022003780050001,1,,33010000137607527,33010000131499705
9022003780050002,9022003780050001,1,,33010000137607401,33010000131499778
9022003780598001,9022003780598001,1,,33010000114112522,33010000131198262
9022003780598001,9022003780598001,1,,33010000114112497,33010000131196180
9022003780367001,9022003780367001,1,,33010000136723873,33010000137539771
9022003780367001,9022003780367001,1,,33010000136723617,33010000137537675
9022003780367001,9022003780367001,1,,33010000137603657,33010000137535701
9022003780367001,9022003780367001,1,,33010000137603872,33010000137535309
9022003780367001,9022003780367001,1,,33010000137604034,33010000137537413
9022003780367001,9022003780367001,1,,33010000137604115,33010000137537413
9022003780367001,9022003780367001,1,,33010000137603463,33010000137538729
9022003780367001,9022003780367001,1,,33010000137603527,33010000137536496
9022003780367001,9022003780367001,1,,33010000137603591,33010000137537151
9022003780367001,9022003780367001,1,,33010000137603723,33010000137537151
9022003730000004,9022003730000002,1,,33010000131452382,33010000134949589
9022003730000004,9022003730000002,1,,33010000131452508,33010000134949721
9022003730000004,9022003730000002,1,,33010000131452445,33010000134949655
9022003730000004,9022003730000002,1,,33010000131452571,33010000134949787
9022003730000004,9022003730000002,1,,33010000131452634,33010000134949853
9022003730000003,9022003730000002,1,,33010000131450852,33010000126140690
9022003780233001,9022003780233001,1,,33010000131445332,33010000131499705
9022003780233001,9022003780233001,1,,33010000131445650,33010000131501157
9022003780233001,9022003780233001,1,,33010000131444961,33010000131500646
9022003780233001,9022003780233001,1,,33010000131445120,33010000131499851
9022003780233001,9022003780233001,1,,33010000131445173,33010000131499924
9022003780233001,9022003780233001,1,,33010000131445544,33010000131501011
9022003780233001,9022003780233001,1,,33010000131445014,33010000131500719
9022003780233001,9022003780233001,1,,33010000131445226,33010000131499997
9022003780233001,9022003780233001,1,,33010000131445279,33010000131500070
9022003780233001,9022003780233001,1,,33010000131445438,33010000131500865
9022003780233001,9022003780233001,1,,33010000131445067,33010000131499778
9022003780233001,9022003780233001,1,,33010000131445385,33010000131500792
9022003780233001,9022003780233001,1,,33010000131445707,33010000131500143
9022003780233001,9022003780233001,1,,33010000137595336,33010000131500143
9022003780233001,9022003780233001,1,,33010000137595389,33010000131499559
9022003780233001,9022003780233001,1,,33010000137595283,33010000131500453
9022003780233001,9022003780233001,1,,33010000137595442,33010000131499632
9022003781210008,9022003781210001,1,,33010000131442179,33010000131171039
9022003781210008,9022003781210001,1,,33010000131442075,33010000131171829
9022003781210008,9022003781210007,1,,33010000131442075,33010000137551998
9022003781210008,9022003781210001,1,,33010000131442127,33010000131170960
9022003781210008,9022003781210001,1,,33010000131442101,33010000131170881
9022003781210008,9022003781210001,1,,33010000131442205,33010000131171118
9022003781210008,9022003781210001,1,,33010000131441042,33010000131171039
9022003781210008,9022003781210001,1,,33010000131440998,33010000131171118
9022003781210008,9022003781210001,1,,33010000131440960,33010000131170881
9022003781210008,9022003781210001,1,,33010000131440979,33010000131171829
9022003781210008,9022003781210007,1,,33010000131440979,33010000137551998
9022003781210008,9022003781210007,1,,33010000131439318,33010000137552594
9022003781210008,9022003781210001,1,,33010000131439084,33010000131170881
9022003781210008,9022003781210001,1,,33010000131439138,33010000131171039
9022003781210008,9022003781210001,1,,33010000131439066,33010000131171829
9022003781210008,9022003781210001,1,,33010000131439102,33010000131170960
9022003781210008,9022003781210001,1,,33010000131439156,33010000131171118
9022003781210008,9022003781210001,1,,33010000131439192,33010000131171434
9022003781210005,9022003781210007,1,,33010000131433663,33010000137562799
9022003781210005,9022003781210007,1,,33010000131433920,33010000137532514
9022003781210005,9022003781210007,1,,33010000131433920,33010000137562204
9022003781210005,9022003781210007,1,,33010000131433637,33010000137560436
9022003781210005,9022003781210001,1,,33010000131433894,33010000131170960
9022003781210005,9022003781210007,1,,33010000137592974,33010000137534086
9022003781210005,9022003781210007,1,,33010000137593028,33010000137562459
9022003781210005,9022003781210007,1,,33010000137593082,33010000137562119
9022003793051002,9022003793051001,1,,33010000131426847,33010000137487222
9022003793035002,9022003793035002,1,,33010000131426847,33010000137495236
9022003793051002,9022003793051001,1,,33010000131426847,33010000137495236
9022003793051002,9022003793051001,1,,33010000131426902,33010000137487413
9022003793035002,9022003793035002,1,,33010000131426902,33010000137495426
9022003793051002,9022003793051001,1,,33010000131426902,33010000137495426
9022003793051002,9022003793051001,1,,33010000131426792,33010000137487042
9022003793035002,9022003793035002,1,,33010000131426792,33010000137495046
9022003793051002,9022003793051001,1,,33010000131426792,33010000137495046
9022003793035002,9022003793035002,1,,33010000131427742,33010000137493304
9022003793035002,9022003793035001,1,,33010000137591703,33010000137489666
9022003793035002,9022003793035001,1,,33010000137591815,33010000137491515
9022003793051002,9022003793051001,1,,33010000137591925,33010000137488183
9022003793035002,9022003793035002,1,,33010000137591925,33010000137491910
9022003793051002,9022003793051001,1,,33010000137591925,33010000137491910
9022003705003001,9022003705003012,1,,33010000131417803,33010000131311352
9022003705003001,9022003705003006,1,,33010000131417803,33010000137478625
9022003705003001,9022003705003007,1,,33010000131418063,33010000137482273
9022003705003001,9022003705003012,1,,33010000131418063,33010000137557296
9022003705003001,9022003705003006,1,,33010000131418323,33010000137478771
9022003705003001,9022003705003012,1,,33010000131418323,33010000137557460
9022003705003001,9022003705003012,1,,33010000131418583,33010000131314123
9022003705003001,9022003705003006,1,,33010000131418583,33010000137477749
9022003705003001,9022003705003012,1,,33010000131417283,33010000131311026
9022003705003001,9022003705003012,1,,33010000131417543,33010000131311189
9022003705003001,9022003705003007,1,,33010000131417543,33010000137482408
9022003705003001,9022003705003012,1,,33010000131418843,33010000137556312
9022003705003001,9022003705003006,1,,33010000131415462,33010000137479209
9022003705003001,9022003705003012,1,,33010000131397409,33010000131311189
9022003705003001,9022003705003007,1,,33010000131397409,33010000137482408
9022003705003001,9022003705003012,1,,33010000131397677,33010000131311352
9022003705003001,9022003705003006,1,,33010000131397677,33010000137478625
9022003705003001,9022003705003012,1,,33010000131398481,33010000131314123
9022003705003001,9022003705003006,1,,33010000131398481,33010000137477749
9022003705003001,9022003705003012,1,,33010000131399161,33010000131317105
9022003705003001,9022003705003006,1,,33010000131399161,33010000137477895
9022003705003001,9022003705003012,1,,33010000131399161,33010000137556476
9022003705003001,9022003705003012,1,,33010000131399697,33010000131317431
9022003705003001,9022003705003006,1,,33010000131399697,33010000137478041
9022003705003001,9022003705003012,1,,33010000131399697,33010000137556804
9022003705003001,9022003705003012,1,,33010000131400501,33010000131317920
9022003705003001,9022003705003012,1,,33010000131400501,33010000137556148
9022003705003001,9022003705003012,1,,33010000131401037,33010000131318083
9022003705003001,9022003705003012,1,,33010000131401037,33010000131319252
9022003705003001,9022003705003006,1,,33010000131401037,33010000137478333
9022003705003001,9022003705003006,1,,33010000131401037,33010000137480085
9022003705003001,9022003705003012,1,,33010000131402109,33010000131318409
9022003705003001,9022003705003006,1,,33010000131402109,33010000137480231
9022003705003001,9022003705003012,1,,33010000131402109,33010000137555984
9022003705003001,9022003705003012,1,,33010000131403181,33010000131313471
9022003705003001,9022003705003012,1,,33010000131403181,33010000137557814
9022003705003001,9022003705003012,1,,33010000131403449,33010000131313634
9022003705003001,9022003705003012,1,,33010000131404253,33010000131316616
9022003705003001,9022003705003007,1,,33010000131397945,33010000137482273
9022003705003001,9022003705003012,1,,33010000131397945,33010000137557296
9022003705003001,9022003705003006,1,,33010000131398213,33010000137478771
9022003705003001,9022003705003012,1,,33010000131398213,33010000137557460
9022003705003001,9022003705003012,1,,33010000131401841,33010000131319578
9022003705003001,9022003705003006,1,,33010000131401841,33010000137480683
9022003705003001,9022003705003012,1,,33010000131402913,33010000131313308
9022003705003001,9022003705003006,1,,33010000131402913,33010000137479209
9022003705003001,9022003705003012,1,,33010000131403717,33010000131315280
9022003705003001,9022003705003006,1,,33010000131403717,33010000137479355
9022003705003001,9022003705003006,1,,33010000131403717,33010000137480377
9022003705003001,9022003705003012,1,,33010000131403717,33010000137555648
9022003705003001,9022003705003012,1,,33010000131404521,33010000137557639
9022003705003001,9022003705003012,1,,33010000133279332,33010000131310700
9022003705003001,9022003705003012,1,,33010000133279475,33010000131310863
9022003705003001,9022003705003012,1,,33010000131398893,33010000137556312
9022003705003001,9022003705003012,1,,33010000131399429,33010000131317268
9022003705003001,9022003705003006,1,,33010000131399429,33010000137479793
9022003705003001,9022003705003012,1,,33010000131399429,33010000137556640
9022003705003001,9022003705003012,1,,33010000131399965,33010000131317594
9022003705003001,9022003705003012,1,,33010000131399965,33010000137556968
9022003705003001,9022003705003006,1,,33010000131402377,33010000137479063
9022003705003001,9022003705003012,1,,33010000131402377,33010000137555814
9022003705003001,9022003705003012,1,,33010000131402645,33010000131313145
9022003705003001,9022003705003012,1,,33010000131402645,33010000131318572
9022003705003001,9022003705003012,1,,33010000131404789,33010000131316942
9022003705003001,9022003705003006,1,,33010000131404789,33010000137479647
9022003705003001,9022003705003012,1,,33010000131397141,33010000131311026
9022003705003001,9022003705003012,1,,33010000131400233,33010000131317757
9022003705003001,9022003705003006,1,,33010000131400233,33010000137478187
9022003705003001,9022003705003006,1,,33010000131400233,33010000137479939
9022003705003001,9022003705003012,1,,33010000131400233,33010000137557132
9022003705003001,9022003705003012,1,,33010000131401573,33010000131318246
9022003705003001,9022003705003012,1,,33010000131401573,33010000131319415
9022003705003001,9022003705003006,1,,33010000131401573,33010000137478479
9022003705003001,9022003705003012,1,,33010000131382819,33010000131311189
9022003705003001,9022003705003007,1,,33010000131382819,33010000137482408
9022003705003001,9022003705003012,1,,33010000131383085,33010000131311352
9022003705003001,9022003705003006,1,,33010000131383085,33010000137478625
9022003705003001,9022003705003012,1,,33010000131385479,33010000131319415
9022003705003001,9022003705003006,1,,33010000131385479,33010000137478479
